file,id,model,task,prompt_type,elapsed,model_output,ground_truth_raw,parsed_ok,pred_num,correct,auto_label
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_036,gpt-4o-mini,shortest_path,zero_shot,168.63249707221985,,"{""distance"": 1, ""path"": [""2287"", ""2278""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_043,gpt-4o-mini,shortest_path,cot_hidden,168.5940067768097,,"{""distance"": 3, ""path"": [""1810"", ""1737"", ""1547"", ""1457""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_006,gpt-4o-mini,shortest_path,cot_hidden,168.36559963226318,,"{""distance"": 1, ""path"": [""917"", ""1166""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_011,gpt-4o-mini,shortest_path,cot_hidden,168.34116125106812,,"{""distance"": 2, ""path"": [""3582"", ""3437"", ""3480""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_033,gpt-4o-mini,connectivity,cot_hidden,168.18309259414673,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_047,gpt-4o-mini,shortest_path,cot_hidden,168.1081726551056,,"{""distance"": 1, ""path"": [""2734"", ""3319""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_042,gpt-4o-mini,shortest_path,cot,167.83993458747864,,"{""distance"": 1, ""path"": [""1416"", ""946""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_020,gpt-4o-mini,shortest_path,cot_hidden,151.1577286720276,,"{""distance"": 1, ""path"": [""1675"", ""932""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_025,gpt-4o-mini,shortest_path,cot_hidden,150.5590274333954,,"{""distance"": 1, ""path"": [""2309"", ""2058""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_010,gpt-4o-mini,shortest_path,zero_shot,150.49329257011414,,"{""distance"": 1, ""path"": [""261"", ""211""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_042,gpt-4o-mini,shortest_path,zero_shot,149.9820363521576,,"{""distance"": 1, ""path"": [""1416"", ""946""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_044,gpt-4o-mini,connectivity,cot_hidden,149.98006963729858,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_034,gpt-4o-mini,shortest_path,zero_shot,149.976952791214,,"{""distance"": 2, ""path"": [""2026"", ""2247"", ""2304""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_037,gpt-4o-mini,shortest_path,cot_hidden,149.91669249534607,,"{""distance"": 3, ""path"": [""3339"", ""2782"", ""3364"", ""2929""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_004,gpt-4o-mini,shortest_path,cot_hidden,149.90509557724,,"{""distance"": 1, ""path"": [""2115"", ""2045""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_044,gpt-4o-mini,shortest_path,zero_shot,149.7954547405243,,"{""distance"": 2, ""path"": [""1989"", ""2040"", ""2586""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_039,gpt-4o-mini,shortest_path,cot_hidden,149.7708089351654,,"{""distance"": 1, ""path"": [""2937"", ""2823""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_033,gpt-4o-mini,shortest_path,cot,149.74918627738953,,"{""distance"": 1, ""path"": [""1156"", ""1668""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_006,gpt-4o-mini,shortest_path,cot,149.6747601032257,,"{""distance"": 1, ""path"": [""917"", ""1166""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_044,gpt-4o-mini,shortest_path,cot,149.67020416259766,,"{""distance"": 2, ""path"": [""1989"", ""2040"", ""2586""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_028,gpt-4o-mini,shortest_path,cot_hidden,149.65608882904053,,"{""distance"": 5, ""path"": [""808"", ""705"", ""724"", ""786"", ""768"", ""767""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_025,gpt-4o-mini,connectivity,cot_hidden,149.6391019821167,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_021,gpt-4o-mini,shortest_path,zero_shot,149.56347918510437,,"{""distance"": 1, ""path"": [""3594"", ""3695""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_024,gpt-4o-mini,shortest_path,cot_hidden,149.52203607559204,,"{""distance"": 1, ""path"": [""2082"", ""2448""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_029,gpt-4o-mini,shortest_path,cot,149.51799130439758,,"{""distance"": 2, ""path"": [""2242"", ""2399"", ""1988""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_035,gpt-4o-mini,connectivity,cot_hidden,149.49870824813843,,"{""connected"": true, ""path"": [""4009"", ""3980"", ""4022""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_032,gpt-4o-mini,connectivity,cot_hidden,149.494948387146,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_013,gpt-4o-mini,shortest_path,cot_hidden,149.4292917251587,,"{""distance"": 2, ""path"": [""3279"", ""3138"", ""3211""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_034,gpt-4o-mini,shortest_path,cot,149.4233362674713,,"{""distance"": 2, ""path"": [""2026"", ""2247"", ""2304""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_023,gpt-4o-mini,shortest_path,cot_hidden,149.4175410270691,,"{""distance"": 2, ""path"": [""2836"", ""3214"", ""3097""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_002,gpt-4o-mini,shortest_path,cot,149.4170527458191,,"{""distance"": 2, ""path"": [""1398"", ""1199"", ""1407""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_027,gpt-4o-mini,connectivity,cot_hidden,149.39446997642517,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_019,gpt-4o-mini,shortest_path,zero_shot,149.39425706863403,,"{""distance"": 1, ""path"": [""1606"", ""1744""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_026,gpt-4o-mini,shortest_path,cot,149.289475440979,,"{""distance"": 2, ""path"": [""3993"", ""3980"", ""4012""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_033,gpt-4o-mini,shortest_path,cot_hidden,149.28506422042847,,"{""distance"": 1, ""path"": [""1156"", ""1668""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_013,gpt-4o-mini,shortest_path,zero_shot,149.24961137771606,,"{""distance"": 2, ""path"": [""3279"", ""3138"", ""3211""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_021,gpt-4o-mini,shortest_path,cot,149.23537492752075,,"{""distance"": 1, ""path"": [""3594"", ""3695""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_013,gpt-4o-mini,shortest_path,cot,149.19857621192932,,"{""distance"": 2, ""path"": [""3279"", ""3138"", ""3211""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_002,gpt-4o-mini,shortest_path,cot_hidden,149.19668221473694,,"{""distance"": 2, ""path"": [""1398"", ""1199"", ""1407""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_038,gpt-4o-mini,shortest_path,zero_shot,149.13925123214722,,"{""distance"": 2, ""path"": [""3706"", ""3833"", ""3758""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_049,gpt-4o-mini,connectivity,cot_hidden,149.1318483352661,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_017,gpt-4o-mini,shortest_path,zero_shot,149.12241792678833,,"{""distance"": 1, ""path"": [""3346"", ""2730""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_009,gpt-4o-mini,shortest_path,zero_shot,149.10643410682678,,"{""distance"": 2, ""path"": [""832"", ""686"", ""726""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_031,gpt-4o-mini,shortest_path,zero_shot,149.10119605064392,,"{""distance"": 2, ""path"": [""1036"", ""1019"", ""596""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_021,gpt-4o-mini,connectivity,cot_hidden,149.10111904144287,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_045,gpt-4o-mini,shortest_path,zero_shot,149.09186005592346,,"{""distance"": 4, ""path"": [""3457"", ""3703"", ""3902"", ""3604"", ""3861""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_024,gpt-4o-mini,shortest_path,zero_shot,149.0895037651062,,"{""distance"": 1, ""path"": [""2082"", ""2448""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_008,gpt-4o-mini,shortest_path,cot_hidden,149.07090401649475,,"{""distance"": 2, ""path"": [""423"", ""431"", ""536""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_045,gpt-4o-mini,shortest_path,cot_hidden,149.01914763450625,,"{""distance"": 4, ""path"": [""3457"", ""3703"", ""3902"", ""3604"", ""3861""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_030,gpt-4o-mini,shortest_path,cot_hidden,148.98753333091736,,"{""distance"": 1, ""path"": [""2059"", ""2638""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_023,gpt-4o-mini,shortest_path,zero_shot,148.9722580909729,,"{""distance"": 2, ""path"": [""2836"", ""3214"", ""3097""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_038,gpt-4o-mini,shortest_path,cot,148.95587611198425,,"{""distance"": 2, ""path"": [""3706"", ""3833"", ""3758""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_024,gpt-4o-mini,shortest_path,cot,148.89283633232117,,"{""distance"": 1, ""path"": [""2082"", ""2448""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_020,gpt-4o-mini,connectivity,cot_hidden,148.86561369895935,,"{""connected"": true, ""path"": [""3016"", ""2869"", ""1405"", ""3366""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_018,gpt-4o-mini,shortest_path,cot_hidden,148.7658302783966,,"{""distance"": 2, ""path"": [""947"", ""1132"", ""1207""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_023,gpt-4o-mini,shortest_path,cot,148.7521471977234,,"{""distance"": 2, ""path"": [""2836"", ""3214"", ""3097""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_021,gpt-4o-mini,shortest_path,cot_hidden,148.5650565624237,,"{""distance"": 1, ""path"": [""3594"", ""3695""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_012,gpt-4o-mini,shortest_path,zero_shot,148.46142268180847,,"{""distance"": 2, ""path"": [""350"", ""484"", ""503""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_037,gpt-4o-mini,connectivity,cot_hidden,132.4886965751648,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_035,gpt-4o-mini,shortest_path,cot,132.23726224899292,,"{""distance"": 1, ""path"": [""3425"", ""2926""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_017,gpt-4o-mini,shortest_path,cot_hidden,132.02157592773438,,"{""distance"": 1, ""path"": [""3346"", ""2730""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_018,gpt-4o-mini,shortest_path,cot,131.1541121006012,,"{""distance"": 2, ""path"": [""947"", ""1132"", ""1207""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_010,gpt-4o-mini,shortest_path,cot,131.05691075325012,,"{""distance"": 1, ""path"": [""261"", ""211""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_046,gpt-4o-mini,shortest_path,zero_shot,130.9771113395691,,"{""distance"": 1, ""path"": [""2368"", ""2327""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_000,gpt-4o-mini,shortest_path,cot_hidden,130.96825623512268,,"{""distance"": 4, ""path"": [""1492"", ""483"", ""1682"", ""1292"", ""1862""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_009,gpt-4o-mini,shortest_path,cot,130.88377737998962,,"{""distance"": 2, ""path"": [""832"", ""686"", ""726""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_042,gpt-4o-mini,connectivity,cot_hidden,130.87447142601013,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_016,gpt-4o-mini,shortest_path,cot,130.84122896194458,,"{""distance"": 1, ""path"": [""373"", ""417""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_037,gpt-4o-mini,shortest_path,cot,130.72191905975342,,"{""distance"": 3, ""path"": [""3339"", ""2782"", ""3364"", ""2929""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_029,gpt-4o-mini,connectivity,cot_hidden,130.69905185699463,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_041,gpt-4o-mini,connectivity,cot_hidden,130.6719527244568,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_041,gpt-4o-mini,shortest_path,zero_shot,130.62198400497437,,"{""distance"": 2, ""path"": [""1152"", ""107"", ""930""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_025,gpt-4o-mini,shortest_path,cot,130.60788321495056,,"{""distance"": 1, ""path"": [""2309"", ""2058""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_038,gpt-4o-mini,shortest_path,cot_hidden,130.5019257068634,,"{""distance"": 2, ""path"": [""3706"", ""3833"", ""3758""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_047,gpt-4o-mini,shortest_path,zero_shot,130.49715209007263,,"{""distance"": 1, ""path"": [""2734"", ""3319""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_020,gpt-4o-mini,shortest_path,cot,130.4864616394043,,"{""distance"": 1, ""path"": [""1675"", ""932""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_030,gpt-4o-mini,shortest_path,zero_shot,130.4722819328308,,"{""distance"": 1, ""path"": [""2059"", ""2638""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_000,gpt-4o-mini,shortest_path,cot,130.46177768707275,,"{""distance"": 4, ""path"": [""1492"", ""483"", ""1682"", ""1292"", ""1862""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_004,gpt-4o-mini,shortest_path,cot,130.4370036125183,,"{""distance"": 1, ""path"": [""2115"", ""2045""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_012,gpt-4o-mini,shortest_path,cot,130.4263653755188,,"{""distance"": 2, ""path"": [""350"", ""484"", ""503""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_026,gpt-4o-mini,connectivity,cot_hidden,130.40697765350342,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_043,gpt-4o-mini,shortest_path,zero_shot,130.37400722503662,,"{""distance"": 3, ""path"": [""1810"", ""1737"", ""1547"", ""1457""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_026,gpt-4o-mini,shortest_path,cot_hidden,130.35450792312622,,"{""distance"": 2, ""path"": [""3993"", ""3980"", ""4012""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_046,gpt-4o-mini,shortest_path,cot,130.34764695167542,,"{""distance"": 1, ""path"": [""2368"", ""2327""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_017,gpt-4o-mini,shortest_path,cot,130.33089065551758,,"{""distance"": 1, ""path"": [""3346"", ""2730""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_034,gpt-4o-mini,connectivity,cot_hidden,130.32959818840027,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_032,gpt-4o-mini,shortest_path,cot,130.3103904724121,,"{""distance"": 3, ""path"": [""2461"", ""2567"", ""2268"", ""2024""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_043,gpt-4o-mini,connectivity,cot_hidden,130.3050274848938,,"{""connected"": true, ""path"": [""1799"", ""1689"", ""1600"", ""1160"", ""484"", ""580""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_028,gpt-4o-mini,connectivity,cot_hidden,130.2978162765503,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_040,gpt-4o-mini,shortest_path,zero_shot,130.29423213005066,,"{""distance"": 1, ""path"": [""2385"", ""2572""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\connectivity\cot_hidden.jsonl,FB_CONN_031,gpt-4o-mini,connectivity,cot_hidden,130.29146909713745,,"{""connected"": false, ""path"": null, ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_015,gpt-4o-mini,shortest_path,zero_shot,130.29092144966123,,"{""distance"": 3, ""path"": [""2604"", ""2347"", ""2224"", ""2617""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_011,gpt-4o-mini,shortest_path,cot,130.28624367713928,,"{""distance"": 2, ""path"": [""3582"", ""3437"", ""3480""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot.jsonl,FB_SP_014,gpt-4o-mini,shortest_path,cot,130.2676923274994,,"{""distance"": 1, ""path"": [""2180"", ""2384""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_037,gpt-4o-mini,shortest_path,zero_shot,130.26214909553528,,"{""distance"": 3, ""path"": [""3339"", ""2782"", ""3364"", ""2929""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_007,gpt-4o-mini,shortest_path,zero_shot,130.2567811012268,,"{""distance"": 1, ""path"": [""3538"", ""3441""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\zero_shot.jsonl,FB_SP_011,gpt-4o-mini,shortest_path,zero_shot,130.24226450920105,,"{""distance"": 2, ""path"": [""3582"", ""3437"", ""3480""], ""status"": ""ok""}",False,,False,format_error
results/answers\gpt-4o-mini\shortest_path\cot_hidden.jsonl,FB_SP_003,gpt-4o-mini,shortest_path,cot_hidden,130.23082661628723,,"{""distance"": 1, ""path"": [""1190"", ""957""], ""status"": ""ok""}",False,,False,format_error
